,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
10,0,0,,,,,,Very good to excellent,,,,0,,0,0,,,,0.0,0,0,,,,,,,
11,34,"[5, 5, 5, 5, 5]",none,Congratulations to those accepted!,,"AP Calculus BC, AP Biology, Lab for AP Bio, AP English Literature,  AP Psychology, Chamber Choir, Computer Literacy",R,"Common app was on my differing strong interests in the concreteness of math/science and the spontaneity of theatre… balance of perspective, fixed and fluid outlook, yadda yadda yadda. I really struggled with this essay, probably writing a good 20 versions on different topics, and while I was somewhat pleased with the final result, it’s surely nothing spectacular. Optional essay wasn't terribly strong.",caucasian,"Significant involvement in school theatre productions, International Thespian Society (President), selective school Chamber Choir (Soprano Section Leader), church choir, Tri-M Music Honor Society (Historian), Invisible Children Club (Treasurer), National Honor Society, Science Bowl, Young Democrats Club, Class Council",F,4.0,Odd first gen situation – my mother didn’t go to college and my father is absent (and consequently not shown on commonapp),0,0,Not the best. Pretty standard.,none,"Accepted to UVA (Echols), Williams (early write), Emory, Wesleyan, UPitt, Washington College (MD); waitlisted at Princeton, Dartmouth, WUSTL; rejected from Johns Hopkins, Duke, Penn; waiting on Middlebury.",0.0133333333333,2300,"[730, 760, 740]",Public,MD,"GPA, scores to a certain extent, potentially my first gen situation",,"Volunteered at an equine therapy program for  the disabled over the summer, actress/assistant director in years of VBS programs at local church","Nothing particularly standout (essay, ECs, awards, etc)",Too many strong applicants
12,0,"[5, 5, 5, 5, 5, 5]",,"Can't wait to meet everyone at Visitas! <span class=""Emoticon Emoticon4""><span>:D</span></span>",,"AP Physics B, AP US Government, AP Macroeconomics, AP English Literature and Composition, AP Stats (LOLZ)",A,"Common App essay was on how my research converted me from a mathematical purist and all-around idealist into a believer in computational science and the inelegance of data processing (and the inelegance of life in general, haha). Supplemental essay was about how my editorial experience subconsciously changed the way I write and use language.",asian,"Applied math research in computational imaging (pretty much my whole life right there <span class=""Emoticon Emoticon4""><span>:D</span></span>), Editing for a national literary journal (Co-Editor-in-Chief), Science Bowl (Co-Captain), Classical piano",F,4.0,Nope,0,0,"Fun. We hit it off, but then again I think my interviewer was just a people person in general XD",,Accepted to Stanford EA and MIT. I pretty much lazed out on apps after Stanford haha,0.00374531835206,2400,"[800, 800, 800]","public, ~1800",CA,Research definitely. And the additional letters.,"Research, research, research all the way <span class=""Emoticon Emoticon1""><span>:)</span></span> Mostly self-studying signal processing techniques, Fourier analysis, and wavelet analysis, and designing and debugging oodles of algorithms and imaging simulations. And yelling a lot at my computer <span class=""Emoticon Emoticon4""><span>:D</span></span> Also took linear algebra at a university the summer after sophomore year.",,Asian,To be honest I'd guess placing at STS sealed the deal XD
13,0,[5],"National Latin Awards (Golds and a silver), Cum Laude; various local, state, national debate trophies, various school awards",,,"AP Latin, AP BC Calculus, AP English Language, Auditioned Jazz/Rock Band, AP US History, Independent Study in Molecular Biology (1 on 1 with my teacher, almost like Williams' tutorials)",A,,caucasian,"Auditioned Jazz/Rock Band (3 years); Astronomy club (2 years, founder/president), Auditioned, nationally recognized a cappella group (1); pit band in musicals (1); Editor of school newspaper (1); non-auditioned a cappella group (2); Varsity Science Olympiad (2); JV and Varsity debate (2); Advisory leader in community service (only offered 1 year); liaison to national charity in junior year; Habitat for Humanity ReStore (2)",M,3.21,NONE,0,100000,,"7 weeks (summer) in major university biology lab doing research, outreach research program in astronomy sponsored by JPL (published in major astronomical journal)",,0.1,2340,"[770, 770]",independent,NC,"GPA, SAT scores, science and music extracurriculars",,"raised about $15k for school WISER, Stop Hunger Now, Amnesty International; organized service project for the junior class, raised $4,000, H for H ReStore",SCHEDULE. It is very hard to get into AP courses in my school - that's why I don't have many before my senior year.,
14,35,[4],"ffffft. I live in Podunk, middle-of-nowhere. I hadn't even heard of those things until I found this site.",,,"Best available (which isn't that great, in the interest of full disclosure)",R,Common app was pretty good.  I didn't do the additional one.,caucasian,"Math Club (president), Quiz Bowl (captain), Academic Decathlon (captain), V/JV track and field, class officer, National Honors Society (VP), SkillsUSA (this club is stupid - don't ever join)",,4.0,None.,0,0,"Okay, this guy was a high-powered lawyer, and he asked me a veritable colon-load of politically charged questions. He spent most of the interview explaining his take and not listening to mine.  On top of that, he not only leaned to the right-hand side of the teeter-totter, but kind of fell in the surrounding mud. Anyway, definitely my worst interview.","Detasseling seed corn for 4 summers, grocery store 15 hours/week",,0.0119047619048,2310,"[800, 800, 780, 760]",Cruddy public. Surrounded on 3 sides by cornfields.,Nebraska,"Not sure, maybe the fact that I'm from Nebraska? It's a stretch.",Working in the cornfields mostly.,"Translator on mission to El Salvador, church service team for 8 years","Interview, extracurriculars.","I haven't been focused on college admissions since I exited the womb, like others I've seen here.  I applied to Harvard mostly for the novelty, not because I thought I stood a hamburger's chance at a Weight Watcher's meeting."
15,0,"[5, 5, 5, 4]","National Hispanic Merit, Honors Society, and some other stuff","congrats to everyone who got in. its quite the accomplishment and you should be proud! to my fellow rejectees, dont fret, im sure we will all end up somewhere good.",,"AP Art history, Theology (required), AP Literature, AP Calc AB, AP Physics, AP Envi-Sci",R,"I thought they were good, guess not",hispanic,"Chess coach, fluent in italian, Tae Kwon Do (student of the year 2009,'10,'11 at my studio, 2nd degree black), varsity lacrosse captain for two years, marine biology research at a local aquarium (presented findings to professors at UCLA, UC Berk, USC, Tufts, Princeton, and some other schools), RNAi genetics research, piano (9 years, submitted music supplement), guitar (6 years), church usher and teen leader for confirmation classes, founder of the current events club and pre-med clubs at school.. and some other stuff but im not in the mood to try to remember",M,3.75,"URM, first generation",0,0,didnt have one,summer camp counselor since 8th grade,"waitlisted: brown yale, rejected: duke, dartmouth, accepted: BC (full ride), USC (full ride), Villanova (full ride).",0.0,2270,"[710, 750]","private, catholic (jesuit)",CA,"sat's are average, i guess URM and first generation is good, activities i thought was pretty good and unique",,"1250 hours of community service, i got the presidential service award",i dont know,not unique enough? not quite sure other than the fact that its harvard. i guess i didnt deserve it.
16,0,"[3, 10]",National Hispanic Scholar and National Merit Commended (first in my school in A WHILE). Gates Finalist. Being cool.,,,"Band, IB Eng A1 HL, IB Bio SL, IB Span B HL, IB Math SL, IB ToK, IB HoA HL, IB Music SL, IB Mentoring, Economics",W,"Loved the first one. About my father and unique circumstances. Very bold and emotional in my eyes. Other essays were all strong imo, but I definitely preferred some over others.",hispanic,"(Drumline and all percussion endeavors in the Band (also going to state for a snare solo and was second chair percussion in my district honor band)), (Mu Alpha Theta Founder and President), History Club, Model UN, NHS, Interact Club",M,4.0,"URM, First in a TRUE college (Dad dropped out and mom has a license but not a degree)",0,0,,Some with family business,,0.00763358778626,2060,"[720, 710]","Inner-city Public in an underfunded and ""Academically Unacceptable"" (according to TEA) campus",TX,"Writing, scores relative to location, doing as much as I can in my school, summer programs.","Duke TiP from 2007 - 2010, Minority Introduction to Engineering and Science (MITES) in 2011, Dartmouth Bound in 2011",935 hours of CAS in IB,Lack of EC and leadership positions,
17,0,"[5, 5, 5, 5]","National Merit Finalist, Multiple National Latin and Greek Exam Golds and equivalent, Howard Hughes Medical Institute lecture participant, presented paper at conference on radical secularism at University of Notre Dame, Science Scholar",,,"AP Calc BC, AP Physics C, AP English Lit, AP US Govt, Latin VI, Greek IV, Theology, Java (1 semester), Digital Photography (1 semester), Independent Study - Indian Philosophy",A,Astonishing.  Brought tears to the eyes of readers.,caucasian,"Quiz Bowl/It's Academic (Captain); National Honor Society (VP), Brown Belt Karate (instructor), tutor to URM children at local elementary school, primary Latin tutor in school, DeMatha Leadership Institute, classical piano, juggling, unicycling",M,3.9,None,0,0,"Very good, lot of fun.",None,"Accepted:  Johns Hopkins, UVA, Univ of MD; Waitlisted:  WUSTL; Rejected:  Yale, Princeton; No decision yet:  Notre Dame",0.01,2340,"[770, 800, 800]",Private all-boys Catholic,MD,"scores, GPA, recommendations, essays",Mostly just picking up new languages.,Various,extracurriculars,
18,0,"[5, 3]",Congressional Award,,,Very difficult,A,Superb,caucasian,"Captain of two sports teams, student body president, four year class representative, Editor in Chief of my school's political journal. My passion is increasing the number of women in politics, so have worked for the White House Project and Emily's List",,3.95,,0,0,,See above,"Accepted: Harvard, Yale, Stanford (likely letter), Columbia, Dartmouth, Brown, Berkeley, UCLA, UCSD",0.005,2390,"[800, 800, 790]",Private,CA,,"Interned for Nancy Pelosi, Interned for Barbara Boxer the other one",See above,,
19,35,"[5, 5, 5]","Olympiads, National Talent Scholarship",,India,"A Level maximum load (General Paper, Project Work, Economics, Math, Chemistry, Physics)",A,Excellent,indian,,M,4.0,,0,0,,None,,0.0,0,"[2400, 800, 800, 800]",Independent,,"Strong EC &amp; Counselor Rec, decent stat &amp; grade.",3 Summer programs,enough,International - Asian,
20,34,[5],none,"Not surprised haha, I knew my ECs would kill me. Although, the primary reason I applied wasn't because I desperately wanted to go or thought I would be a good fit, it was for the hell of it haha, so to hell with it! But seriously, CONGRATULATIONS to everyone accepted and everyone else will end up at a school they love too. Good luck to all!!!",,"3 APs, 1 Self-Study AP, the rest either honors or required",R,Excellent,caucasian,"Varsity XC, Track, Indoor Track and Tennis. Relay for Life. Math Tutor. Student Senate President.",M,4.0,none,0,250000,"Went well, he told me he thought I would get in. So much for that haha XD",Summer Internship at MI house of reps.,,0.0,0,[790],Private (Catholic),MI,,,about 100 varied total hours,"ECs, ECs, and ECs","ECs. My one semi-excuse for weak ECs was I moved from CT to MI halfway through high school (start of junior year), so it was nearly impossible to get leadership positions as a junior, the time when most applicants acquire them."
21,34,0,NMF,,USA,Most demanding,W,Outstanding,caucasian,"School newspaper (editor in chief), Robotics (captain), Diplomacy club (president), Mock Trial, Tennis",M,3.98,Foreign born immigrant (but at age 2),0,0,Went decently well,Summer lab research at UPenn,,0.1,2290,"[800, 730, 700]",Private,PA,"Teacher recs, essays","Above mentioned hospital volunteer, travel, above mentioned lab research","Hospital volunteer, TA at local sunday school",ECs,"Strengths, maybe the ""hook"" helped"
22,0,"[5, 13]",None,Congratulations to those accepted! I'll be waiting for any change in status via the waitlist!,,6 AP classes,W,"I wrote an essay about puzzles. It got me into Princeton, but it probably wasn't as well received at Harvard.",asian,"Mock Trial, Music, Orchestra",M,4.0,None.,0,0,"Well, my interviewer (a professor) was an hour late to the interview; he apparently stayed to talk to students after class for an entire hour. He was also sort of pretentious, but I enjoyed his stories about Harvard.","Private Violin Teacher, Tutor",,0.00166666666667,2400,"[800, 800, 780, 780, 740]","Large public, almost 3000 kids",California,"Academics, Objective Numbers, Recommendations","None, really","Tutor at school, Church choir musician","Dearth of major awards or activities, Essays","Essays weren't too well-liked. Given the extra-limited number of opportunities to shine in Harvard's application, I probably made a tactical error in the subject of my supplemental essay."
23,0,"[5, 5, 5, 5, 5, 5]","Top 40 PF Team at Nationals, President's Service Award, State PF Champion, National-Circuit Debate Winner","Just what I expected. My friend with better stats from my school recieved a waitlist offer several hours before me so I suspected this or worse. I imagine I will stay on this though, in some small hope",,"Hardest in school, 5 APs and one regular class",W,,caucasian,"Theater (4 Leads), Debate (Co-Captain, most NFL points in school history, etc), Guitarist, Student Body Treasurer, Freshman Mentor",M,4.0,Strikingly good looks,0,10000,"Distinctly mediocre, fairly short.","One part-time summer ""internship"" in a warehouse",,0.0454545454545,0,"[780, 790, 800]",Small Private,CO,"Scores, GPA",,150ish hours,"Interview, no hook, Record applicant pool",You tell me
24,0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 9, 10]","10 on AIME, Science Bowl Regional Winner, National AP Scholar, National Merit Scholar.",,USA,"All classes at the University of Minnesota Twin Cities and at the upper division level. Honors Abstract Algebra (2 semesters), Differential Geometry, Analytical Mechanics, Electricity &amp; Magnetism (using Griffiths), Japanese Literature (2 semesters), Hong Kong Cinema, US Social History 1900-1940, Modern Chinese History.",R,okay 7/10,caucasian,"Quiz Bowl 4 years (club president 2 years), Science Bowl 4 years (captain 2 years), Math Team 4 years (co-captain 1 year), Science Olympiad 2 years. All among the best in Minnesota.",M,3.94,none,0,0,was not offered one,none,,0.026,2340,"[800, 800]",Large inner-city non-selective public but I had taken all my classes for the last two years at the University of Minnesota Twin Cities.,MN,"Very rigorous course schedule. By the time I graduate high school I will have taken liner algebra and multivariable calculus, 2 semesters of honors real analysis, 2 semesters of honors abstract algebra, 2 semesters of phsysical chemistry, biopolymer physics, analytical mechanics, electricity and magnetism (using Griffiths), and 8 upper division college humanities classes. I also had decent extracurriculars and Ross should have helped.",,nothing notable,some A-s in math and science classes and weak essays.,no idea
25,34,"[3, 4, 4, 4]",N/A,,"<span class=""Emoticon Emoticon4""><span>:D</span></span>","AP Macroeconomics, AP Calculus, AP US Government, AVID, Beginning Voice, Intro to Cinema, Botany, Physics",W,Great.,asian,"Student Senate (Chairperson), Anime Club (President), ACADEC, Science Alliance (Secretary/Historian), Athletics Club, Entomology Internship, Community Works~",M,4.0,Aim - to be (the very best) first doctor in the family.,0,0,First time. Pretty well actually.,"Math Tutor at local community college, Paid Internship for Gavilan~",,0.0,2000,"[600, 700]","(Young) Charter School, I guess. Mash up of high school and community college.",CA,"Quirkiness, genuine (regarding essays), pursuing as much as possible within my area, grades, GPA~",Summer Courses?,"Here and there. I've got my sheet with my hours, I swear.","Test scores, lack of ""meat"" for application in comparison to others (lack of local opportunities, I guess)",Look at strengths and weaknesses?
26,0,0,none,Congrats to everyone who was accepted!,Netherlands,"History, Mathematics, French, English, Dutch, Latin, Art, Economics",R,I thought they were great (writing is my strong point),caucasian,"Treasurer, vice president and secretary for student government, (copy) editor for the school newspaper, piano (won several small competitions).",F,4.0,"mmm... none, I guess.",0,0,None.,waitress and I work at a bookstore.,"Rejected from every place; I guess I'll just study in the Netherlands then, where every university would be open for me <span class=""Emoticon Emoticon3""><span>;)</span></span>",0.0105263157895,2100,"[710, 660]",Public,-,"Essays, teacher recommendation.",sailing.,I organized a charity event at my school.,"Everything else <span class=""Emoticon Emoticon1""><span>:)</span></span>","I guess I didn't stand out, I wasn't special enough."
27,0,"[5, 5, 5, 5, 5]",regional awards for poetry contests,"AHHHHHHHHHHHH. That's all that is going on in my brain right now. I didn't even dream of getting in, I just applied because that's just what you do. Don't know yet if my family can afford it yet, but I'm a strong believer that everyone eventually finds their place!",,"AP Lit, AP Econ, AP Calculus, Drama",A,"(1) A essay about my experience working at Taco Bell --probably what got me in, weirdly enough. (2) A essay about my experience as Ophelia in Hamlet",asian,"Parliamentary Debate, Theatre Art, Poetry Slams, Usher for local theaters, varsity soccer",F,4.0,,0,160000,"Interviewed with a doctor, he did 90% of the talking, it was so hard getting one word in about myself, so I doubt it really helped.","Taco Bell Cashier, Intern for Congresswoman","Yale, Duke, Berkeley, Johns Hopkins, UChicago, Rice, Emory",0.0,2240,"[780, 800, 730]",Public,CA,I'm guessing my work and theatre experience,"Stanford Debate Camp, Trip to China, Economics for Leaders","teaching plays in schools, not a lot though.",,I'm still in shock.
28,0,[555554444],"A bunch of stuff for foreign language, writing, history, and piano, plus AMC 12 School Winner","I really, really tried my best this time - that's all that ultimately matters.",Canadian citizen,Hardest Possible,R,Hopefully well-written,asian,"Foreign language, volunteering, Writing/Journalism Club, newspaper, church youth group, Math Club peer tutor",F,3.8,No,0,0,Very good; lasted for roughly an hour. Said she'd write a lot of positive things.,,"Accepted: McGill. Waitlisted: Dartmouth, Duke. Rejected: Yale, Brown, Columbia, Penn, Amherst. Waiting: Stanford.",0.0,2350,"[750, 790, 800, 800, 790]",Private,CA,"Test scores, multilingualism, varied academic interests, international perspective, subjective factors (?)","Traveling, reading, math and astronomy courses at Cambridge University",~700 hours,"GPA, subjective factors (?)","I applied last year and was also rejected, so I wasn't expecting much. I thought it would be worth a second try because I didn't feel as though I portrayed myself very well in my application the first time around, and I made a note of that this time."
29,0,0,"mostly school awards, one award that almost anyone never gets, it's like valedictorian+something more","Congrats to everyone that got in!! And to those who got waitlisted, another two long months but at least we know we meant something to them? LOL and to those who were rejected, be the next warren buffet and shove that rejection letter in their faces. everyone here is so ridiculously accomplished it's unbelievable",Philippines,counselor ticked most demanding,W,"sent a bunch in, one was about how i loved music but could never play so i organized the variety show, one was being a filipino learning chinese, one was about my gap year",asian,"main ones is a concert i organized every year, earned total of around $120,000 during my time; directed 4-5 major productions in high school; organized a summer teaching program where we teach disadvantaged kids during weekdays the whole summer, wildly successful, had more than 100 students per summer; during gap year, studied french, went to bali where we built a school, and a lot more. these are just main ones",M,3.7145,gap year? not really sure. really complicated story just check my chance thread,0,200000,"didn't have one cos of travelling, never contacted though","starbucks barista for a year, photographer for fashion week in manila,","waitlisted princeton and dartmouth, rejected yale, waiting on amherst among others",0.0374531835206,2240,"[760, 740, 660]",private,,"i think overall i was pretty solid, and i guess getting waitlisted proved just that",see ecs,"see ecs, but did a lot of habitat for humanity and built a lot of houses for disadvantaged","SATs i guess, i can't really say. maybe my other two recs aren't as stellar as they ought to have been","international admissions is extremely competitive, much more competitive than the competition for us citizens"
30,0,0,"Top 10 in national math olympiad, top in national programming competition.",I'm not surprised at all. Glad I even applied to Harvard in the first place.,Vietnam (but spent 4 years of high school in Singapore),"A Level maximum load (General Paper, Project Work, Economics, Math, Chemistry, Physics)",R,"I liked my Common App essay, though my counselor said it's ""decent"".",asian,"Science and Math Council (Deputy President), High school YMCA (IT Director), Multimedia Club (President), Tech Council, Guitar Ensemble, Math Club.",M,3.9,None,0,10000,Went pretty well. We talked for about 1 hour and a half.,None,,0.00111111111111,2320,"[2400, 800, 800, 800]",Public / Independent,,"Strong EC &amp; Counselor Rec, decent stats &amp; grade.",None,1000+ hours of Community Service,Cookie-cutter Asian,"It's Harvard, duh!"
